tool_id,qw,qx,qy,qz,x,y,z
0B,0.041101853,-0.741533422,0.291613143,-0.602827170,79.960000000,1.530000000,-172.840000000
0B,0.062707856,-0.745893448,0.287636036,-0.597474853,79.970000000,0.920000000,-172.900000000
0B,0.069006832,-0.747073964,0.285228239,-0.596459052,79.970000000,0.680000000,-172.970000000
0B,0.088507039,-0.746559372,0.281822413,-0.596147411,79.960000000,0.160000000,-173.200000000
0B,0.104208212,-0.736258019,0.285422492,-0.604647648,79.800000000,-0.200000000,-173.870000000
0B,0.105209678,-0.733067431,0.286026310,-0.608055932,79.830000000,-0.100000000,-174.160000000
0B,0.104407170,-0.721749564,0.290419944,-0.619542545,79.690000000,0.120000000,-174.590000000
0B,0.102408086,-0.717656668,0.291623027,-0.624049277,79.650000000,0.210000000,-174.810000000
0B,0.097507720,-0.711056297,0.292023120,-0.632150049,79.650000000,0.360000000,-175.220000000
0B,0.094310187,-0.706876354,0.292531598,-0.637068814,79.630000000,0.560000000,-175.450000000
0B,0.093106567,-0.705849785,0.291520562,-0.638845059,79.600000000,0.470000000,-175.360000000
0B,0.094106425,-0.706048204,0.289619773,-0.639343649,79.610000000,0.490000000,-175.430000000
0B,0.093809547,-0.705571806,0.287729282,-0.640765211,79.600000000,0.460000000,-175.410000000
0B,0.092707503,-0.704156986,0.286223164,-0.643152049,79.590000000,0.440000000,-175.490000000
0B,0.086008631,-0.701770423,0.285128613,-0.647164943,79.570000000,0.630000000,-175.680000000
0B,0.084210056,-0.700583658,0.286734240,-0.647977376,79.550000000,0.620000000,-175.680000000
0B,0.075708881,-0.697781855,0.289133917,-0.650976364,79.560000000,0.980000000,-175.670000000
0B,0.071606181,-0.696960161,0.288824931,-0.652456319,79.550000000,1.080000000,-175.710000000
0B,0.064603285,-0.694935342,0.288614678,-0.655433333,79.540000000,1.220000000,-175.770000000
0B,0.064407061,-0.695076198,0.288231598,-0.655471857,79.550000000,1.220000000,-175.740000000
0B,0.066307501,-0.696678816,0.287332506,-0.653973985,79.550000000,1.080000000,-175.650000000
0B,0.066605873,-0.696961450,0.287525351,-0.653557623,79.540000000,1.170000000,-175.510000000
0B,0.064902142,-0.695922973,0.288009507,-0.654621609,79.540000000,1.140000000,-175.650000000
0B,0.060104273,-0.695949477,0.288020476,-0.655046569,79.610000000,1.420000000,-175.610000000
0B,0.059103713,-0.696743774,0.288818146,-0.653941085,79.580000000,1.370000000,-175.560000000
0B,0.063709174,-0.697300408,0.289541693,-0.652593971,79.600000000,1.300000000,-175.610000000
0B,0.064105992,-0.697965238,0.288826996,-0.652160957,79.570000000,1.290000000,-175.580000000
0B,0.065603423,-0.698136426,0.288815069,-0.651834010,79.560000000,1.290000000,-175.580000000
0B,0.064201349,-0.698814682,0.287306036,-0.651913697,79.550000000,1.200000000,-175.540000000
0B,0.064506212,-0.698567275,0.287727710,-0.651962787,79.590000000,1.270000000,-175.630000000
0B,0.064805440,-0.698858661,0.287424126,-0.651754707,79.590000000,1.250000000,-175.630000000
0B,0.069406000,-0.701260627,0.285924719,-0.649356139,79.580000000,1.060000000,-175.520000000
0B,0.071605812,-0.701456940,0.286723274,-0.648552645,79.580000000,0.980000000,-175.500000000
0B,0.075205778,-0.703254033,0.285921968,-0.646549676,79.600000000,0.930000000,-175.510000000
0B,0.076608906,-0.703381769,0.286533310,-0.645975096,79.560000000,0.840000000,-175.420000000
0B,0.077307492,-0.703268157,0.287327846,-0.645662574,79.580000000,0.850000000,-175.410000000
0B,0.077204629,-0.703142155,0.287717249,-0.645638707,79.620000000,0.950000000,-175.440000000
0B,0.076407211,-0.703266374,0.287127099,-0.645860956,79.600000000,0.910000000,-175.500000000
0B,0.076408737,-0.703180410,0.287532880,-0.645773845,79.590000000,0.900000000,-175.460000000
0B,0.075603908,-0.702636320,0.288714924,-0.645933389,79.560000000,0.920000000,-175.420000000
0B,0.076702504,-0.701022885,0.291909530,-0.646121093,79.610000000,1.190000000,-175.530000000
0B,0.072710103,-0.700897386,0.290640383,-0.647289937,79.560000000,0.990000000,-175.430000000
0B,0.073605930,-0.701256492,0.290523404,-0.646852109,79.560000000,1.000000000,-175.420000000
0B,0.073205459,-0.700952272,0.290921695,-0.647048252,79.580000000,1.050000000,-175.450000000
0B,0.072908765,-0.700784243,0.291335022,-0.647077787,79.590000000,1.080000000,-175.460000000
