step_index,sample_index,phase,servo_id,segment,command_cm,goal_tick,position_tick,signed_raw_current_ma,load_proxy_ma,capture_accepted,valid_for_two_segment_model_training
2,5,single_axis_micro,3,segment_a,0.01,2513,2514,0,0,True,False
2,5,single_axis_micro,4,segment_a,0.0,2450,2450,0,0,True,False
2,5,single_axis_micro,5,segment_b,0.0,2244,2243,8,8,True,False
2,5,single_axis_micro,6,segment_b,0.0,2600,2601,0,0,True,False
2,5,single_axis_micro,7,segment_b,0.0,2608,2608,0,0,True,False
2,5,single_axis_micro,8,segment_b,0.0,2071,2071,0,0,True,False
2,6,single_axis_micro,1,segment_a,-0.01,2774,2775,0,0,True,False
2,6,single_axis_micro,2,segment_a,0.0,2046,2047,0,0,True,False
2,6,single_axis_micro,3,segment_a,0.01,2513,2514,0,0,True,False
2,6,single_axis_micro,4,segment_a,0.0,2450,2450,0,0,True,False
2,6,single_axis_micro,5,segment_b,0.0,2244,2243,8,8,True,False
2,6,single_axis_micro,6,segment_b,0.0,2600,2601,0,0,True,False
2,6,single_axis_micro,7,segment_b,0.0,2608,2608,0,0,True,False
2,6,single_axis_micro,8,segment_b,0.0,2071,2071,0,0,True,False
2,7,single_axis_micro,1,segment_a,-0.01,2774,2775,0,0,True,False
2,7,single_axis_micro,2,segment_a,0.0,2046,2047,0,0,True,False
2,7,single_axis_micro,3,segment_a,0.01,2513,2514,0,0,True,False
2,7,single_axis_micro,4,segment_a,0.0,2450,2450,0,0,True,False
2,7,single_axis_micro,5,segment_b,0.0,2244,2243,8,8,True,False
2,7,single_axis_micro,6,segment_b,0.0,2600,2601,0,0,True,False
